feature,importance
known_device,0.5403724966881296
typing_pattern_anomaly,0.5355358952203144
sar_flag,0.4946418460075596
sin_day_of_week,0.4838041922859447
is_flagged,0.4814808048153206
credit_score,0.47131784935541193
risk_profile_encoded,0.4712769994047639
ctr_flag,0.46942692195230623
amount_risk_score,0.46601154509599624
cos_hour,0.4624507459238819
device_trust_gap,0.4564286912360506
txn_per_month,0.45471066462230186
is_business_hours,0.4539236503937854
amount_to_daily_limit_ratio,0.4528702322851767
destination_is_mule_account,0.4514974091064309
authentication_failures,0.4499477347364165
annual_income,0.44876220022226543
transaction_type_encoded,0.4480330919960175
velocity_risk_score,0.4474895714931783
is_night,0.44372899420311945
is_weekend,0.4434915708542516
amount,0.44195255722100973
amount_to_monthly_limit_ratio,0.4417645098047996
txn_escalation_rate,0.44035295150731296
cos_day_of_week,0.43847973141314156
known_device_rate,0.43841204469717643
hesitation_indicators,0.43360610178527875
risk_velocity,0.4316766049381982
hour,0.4277320750833707
source_mule_account_rate,0.4274935203787234
relative_amount_to_avg,0.4271181776862427
digital_literacy_level_encoded,0.4270153290125912
customer_tenure_years,0.42647433126264217
betweenness_centrality,0.42395573382708646
source_is_mule_account,0.4223062807934502
source_daily_limit,0.42156474724513815
avg_risk_score,0.4203754189680633
destination_daily_limit,0.41884133738656065
txn_alert_count,0.417414194263197
vulnerability_score,0.41726993515502697
alert_to_txn_ratio,0.41716353323309807
pagerank_centrality,0.41710757340654026
txn_avg_false_positive_prob,0.4170052320627631
source_monthly_limit,0.4157832676574105
day_of_week,0.41572481443404574
is_round_amount,0.4138139093064461
sin_hour,0.4129402829608091
destination_monthly_limit,0.4119170819173085
location_risk_score,0.41057182613243043
risk_score,0.4089750411533252
is_vulnerable,0.40882191069161283
call_to_txn_ratio,0.4083180627628409
txn_call_count,0.40814531100543255
txn_avg_call_duration,0.40789433330807445
anomaly_score,0.40755627022870955
max_risk_score,0.4067880703862918
txn_avg_resolution_hours,0.4048407001241426
txn_avg_alert_risk_score,0.4044530441562941
age,0.40015034091463314
txn_outcome_reached_rate,0.39956750157905985
flow_ratio,0.39925524211863883
risk_score_gap,0.3986234763098719
hours_since_last_call,0.3985408343239058
hours_since_last_alert,0.39705226328061044
log_amount,0.3957245681645125
txn_high_priority_rate,0.38990231988060864
